CompanyId,CompanyName,Followers,CurrentStockPrice,CurrentGrowthRate,PredictedStockPrice,PredictedGrowthRate,,,,,,,
COLB,Columbia Banking System Inc. Common Stock,60,29.88,-2.449%,29.88,-2.449%,,,,,,,
COLD,Americold Realty Trust Inc. Common Stock,31,22.24,-4.631%,22.24,-4.631%,,,,,,,
COLM,Columbia Sportswear Company Common Stock,64,72.68,-0.71%,72.68,-0.71%,,,,,,,
COMM,CommScope Holding Company Inc. Common Stock,31,12.37,2.231%,12.37,2.231%,,,,,,,
COO,The Cooper Companies Inc. Common Stock,77,256.48,-0.77%,256.48,-0.77%,,,,,,,
COOP,Mr. Cooper Group Inc. Common Stock,56,42.52,-1.869%,42.52,-1.869%,,,,,,,
COP,ConocoPhillips Common Stock,87,121.11,2.731%,121.11,2.731%,,,,,,,
CORT,Corcept Therapeutics Incorporated Common Stock,71,27.75,-2.289%,27.75,-2.289%,,,,,,,
COST,Costco Wholesale Corporation Common Stock,63,471.43,-0.389%,471.43,-0.389%,,,,,,,
COTY,Coty Inc. Class A Common Stock,7,6.62,-3.639%,6.62,-3.639%,,,,,,,
COUP,Coupa Software Incorporated Common Stock,15,52.37,-5.452%,52.37,-5.452%,,,,,,,
CPB,Campbell Soup Company Common Stock,66,50.98,0.851%,50.98,0.851%,,,,,,,
CPE,Callon Petroleum Company Common Stock,84,42.23,0.98%,42.23,0.98%,,,,,,,
CPK,Chesapeake Utilities Corporation Common Stock,19,120.22,-0.216%,120.22,-0.216%,,,,,,,
CPRT,Copart Inc. (DE) Common Stock,31,110.95,-1.413%,110.95,-1.413%,,,,,,,
CPT,Camden Property Trust Common Stock,83,112.73,-2.364%,112.73,-2.364%,,,,,,,
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,92,56.33,0.878%,56.33,0.878%,,,,,,,
CR,Crane Holdings Co. Common Stock,81,98.77,-0.714%,98.77,-0.714%,,,,,,,
CRCT,Cricut Inc. Class A Common Stock,75,10.43,1.558%,10.43,1.558%,,,,,,,
CRI,Carter's Inc. Common Stock,38,72.54,-1.454%,72.54,-1.454%,,,,,,,
CRK,Comstock Resources Inc. Common Stock,20,17.88,-1.161%,17.88,-1.161%,,,,,,,
CRL,Charles River Laboratories International Inc. Common Stock,1,199.6,-3.041%,199.6,-3.041%,,,,,,,
CRM,Salesforce Inc. Common Stock,88,153.67,0.091%,153.67,0.091%,,,,,,,
CROX,Crocs Inc. Common Stock,43,77.1,-3.541%,77.1,-3.541%,,,,,,,
CRUS,Cirrus Logic Inc. Common Stock,57,65.66,-0.091%,65.66,-0.091%,,,,,,,
CRVL,CorVel Corp. Common Stock,52,153.09,0.367%,153.09,0.367%,,,,,,,
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,93,152.54,-2.766%,152.54,-2.766%,,,,,,,
CSCO,Cisco Systems Inc. Common Stock (DE),31,41.88,0.215%,41.88,0.215%,,,,,,,
CSGP,CoStar Group Inc. Common Stock,94,72.29,-1.445%,72.29,-1.445%,,,,,,,
CSL,Carlisle Companies Incorporated Common Stock,26,285.96,-2.552%,285.96,-2.552%,,,,,,,
CSX,CSX Corporation Common Stock,57,27.92,-1.725%,27.92,-1.725%,,,,,,,
CTAS,Cintas Corporation Common Stock,27,400.25,-0.455%,400.25,-0.455%,,,,,,,
CTLT,Catalent Inc. Common Stock,42,71.08,-5.138%,71.08,-5.138%,,,,,,,
CTRA,Coterra Energy Inc. Common Stock,16,30.12,2.31%,30.12,2.31%,,,,,,,
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,29,59.81,-1.499%,59.81,-1.499%,,,,,,,
CUBE,CubeSmart Common Shares,16,38.61,-2.917%,38.61,-2.917%,,,,,,,
CUK,Carnival Plc ADS ADS,68,6.86,-4.19%,6.86,-4.19%,,,,,,,
CUZ,Cousins Properties Incorporated Common Stock,47,22.12,-4.901%,22.12,-4.901%,,,,,,,
CVBF,CVB Financial Corporation Common Stock,76,27.45,-0.795%,27.45,-0.795%,,,,,,,
CVI,CVR Energy Inc. Common Stock,15,38.07,6.192%,38.07,6.192%,,,,,,,
CVLT,Commvault Systems Inc. Common Stock,49,57.67,0.365%,57.67,0.365%,,,,,,,
CVS,CVS Health Corporation Common Stock,60,91.66,-0.305%,91.66,-0.305%,,,,,,,
CVT,Cvent Holding Corp. Common Stock,11,5.84,-1.684%,5.84,-1.684%,,,,,,,
CVX,Chevron Corporation Common Stock,43,168,3.245%,168,3.245%,,,,,,,
CW,Curtiss-Wright Corporation Common Stock,99,161.64,0.723%,161.64,0.723%,,,,,,,
CWEN,Clearway Energy Inc. Class C Common Stock,84,32.42,-1.728%,32.42,-1.728%,,,,,,,
CWST,Casella Waste Systems Inc. Class A Common Stock,8,78.14,1.309%,78.14,1.309%,,,,,,,
CWT,California Water Service Group Common Stock,94,55.85,-1.01%,55.85,-1.01%,,,,,,,
CYTK,Cytokinetics Incorporated Common Stock,20,47.1,-4.034%,47.1,-4.034%,,,,,,,
CZR,Caesars Entertainment Inc. Common Stock,84,37.31,-3.989%,37.31,-3.989%,,,,,,,
D,Dominion Energy Inc. Common Stock,8,65.69,-1.277%,65.69,-1.277%,,,,,,,
DAL,Delta Air Lines Inc. Common Stock,29,32.52,1.088%,32.52,1.088%,,,,,,,
DAR,Darling Ingredients Inc. Common Stock,97,75.09,1.487%,75.09,1.487%,,,,,,,
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),37,68.91,-4.185%,68.91,-4.185%,,,,,,,
DBRG,DigitalBridge Group Inc.,11,13,-2.476%,13,-2.476%,,,,,,,
DBX,Dropbox Inc. Class A Common Stock,100,20.9,-1.462%,20.9,-1.462%,,,,,,,
DCI,Donaldson Company Inc. Common Stock,95,52.8,-0.434%,52.8,-0.434%,,,,,,,
DCP,DCP Midstream  LP Common Units ,13,39,0.00%,39,0.00%,,,,,,,
DDOG,Datadog Inc. Class A Common Stock,31,79,-3.399%,79,-3.399%,,,,,,,
DDS,Dillard's Inc. Common Stock,20,302.88,-2.41%,302.88,-2.41%,,,,,,,
DE,Deere & Company Common Stock,40,371.32,0.003%,371.32,0.003%,,,,,,,
DECK,Deckers Outdoor Corporation Common Stock,71,354.55,-1.806%,354.55,-1.806%,,,,,,,
DEI,Douglas Emmett Inc. Common Stock,11,16.41,-4.98%,16.41,-4.98%,,,,,,,
DFS,Discover Financial Services Common Stock,77,93.43,-2.97%,93.43,-2.97%,,,,,,,
DG,Dollar General Corporation Common Stock,45,238.37,0.328%,238.37,0.328%,,,,,,,
DGX,Quest Diagnostics Incorporated Common Stock,30,126.66,-2.253%,126.66,-2.253%,,,,,,,
DHI,D.R. Horton Inc. Common Stock,9,67.79,-6.316%,67.79,-6.316%,,,,,,,
DHR,Danaher Corporation Common Stock,50,257.89,-2.892%,257.89,-2.892%,,,,,,,
DINO,HF Sinclair Corporation Common Stock,22,59.74,2.911%,59.74,2.911%,,,,,,,
DIOD,Diodes Incorporated Common Stock,39,69.56,-0.657%,69.56,-0.657%,,,,,,,
DIS,Walt Disney Company (The) Common Stock,65,98.99,0.518%,98.99,0.518%,,,,,,,
DISH,DISH Network Corporation Class A Common Stock,6,13.75,-2.827%,13.75,-2.827%,,,,,,,
DK,Delek US Holdings Inc. Common Stock,53,28.71,5.126%,28.71,5.126%,,,,,,,
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,95,55.07,-2.133%,55.07,-2.133%,,,,,,,
DKNG,DraftKings Inc. Class A Common Stock,2,13.14,-3.026%,13.14,-3.026%,,,,,,,
DKS,Dick's Sporting Goods Inc Common Stock,72,109.11,-2.257%,109.11,-2.257%,,,,,,,
DLB,Dolby Laboratories Common Stock,90,65.35,-0.94%,65.35,-0.94%,,,,,,,
DLR,Digital Realty Trust Inc. Common Stock,86,95.21,-1.683%,95.21,-1.683%,,,,,,,
DLTR,Dollar Tree Inc. Common Stock,27,139.97,0.136%,139.97,0.136%,,,,,,,
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,45,2.44,-8.271%,2.44,-8.271%,,,,,,,
DNB,Dun & Bradstreet Holdings Inc. Common Stock,9,11.6,-3.172%,11.6,-3.172%,,,,,,,
DNLI,Denali Therapeutics Inc. Common Stock,2,27.87,-15.056%,27.87,-15.056%,,,,,,,
DNP,DNP Select Income Fund Inc. Common Stock,68,10.33,-0.864%,10.33,-0.864%,,,,,,,
DNUT,Krispy Kreme Inc. Common Stock,62,13.39,1.439%,13.39,1.439%,,,,,,,
DOC,Physicians Realty Trust Common Shares of Beneficial Interest,22,14.36,-0.485%,14.36,-0.485%,,,,,,,
DOCN,DigitalOcean Holdings Inc. Common Stock,52,36.33,-3.352%,36.33,-3.352%,,,,,,,
DOCU,DocuSign Inc. Common Stock,99,46.55,-4.001%,46.55,-4.001%,,,,,,,
DORM,Dorman Products Inc. Common Stock,69,89.94,-3.197%,89.94,-3.197%,,,,,,,
DOV,Dover Corporation Common Stock,97,121.36,-1.661%,121.36,-1.661%,,,,,,,
DPZ,Domino's Pizza Inc Common Stock,70,323.4,-1.672%,323.4,-1.672%,,,,,,,
DRI,Darden Restaurants Inc. Common Stock,90,133,-0.33%,133,-0.33%,,,,,,,
DRVN,Driven Brands Holdings Inc. Common Stock,73,31.79,-1.67%,31.79,-1.67%,,,,,,,
DT,Dynatrace Inc. Common Stock,35,33.65,-3.471%,33.65,-3.471%,,,,,,,
DTE,DTE Energy Company Common Stock,69,108.63,-1.147%,108.63,-1.147%,,,,,,,
DUK,Duke Energy Corporation (Holding Company) Common Stock,79,89.29,-1.674%,89.29,-1.674%,,,,,,,
DUOL,Duolingo Inc. Class A Common Stock,34,87.78,-1.548%,87.78,-1.548%,,,,,,,
DVA,DaVita Inc. Common Stock,89,90.67,0.744%,90.67,0.744%,,,,,,,
DVN,Devon Energy Corporation Common Stock,30,71.94,3.11%,71.94,3.11%,,,,,,,
DXCM,DexCom Inc. Common Stock,58,96.84,-0.093%,96.84,-0.093%,,,,,,,
DY,Dycom Industries Inc. Common Stock,6,110.34,1.987%,110.34,1.987%,,,,,,,
EA,Electronic Arts Inc. Common Stock,89,123.84,0.381%,123.84,0.381%,,,,,,,
EBAY,eBay Inc. Common Stock,97,37.81,-1.792%,37.81,-1.792%,,,,,,,
EBC,Eastern Bankshares Inc. Common Stock,39,21.05,-0.52%,21.05,-0.52%,,,,,,,
ECL,Ecolab Inc. Common Stock,71,145.73,-1.587%,145.73,-1.587%,,,,,,,
ED,Consolidated Edison Inc. Common Stock,46,84.54,-0.541%,84.54,-0.541%,,,,,,,
EEFT,Euronet Worldwide Inc. Common Stock,25,77.95,-3.432%,77.95,-3.432%,,,,,,,
EFX,Equifax Inc. Common Stock,53,160.12,-3.507%,160.12,-3.507%,,,,,,,
EGP,EastGroup Properties Inc. Common Stock,45,142.19,-2.763%,142.19,-2.763%,,,,,,,
EHC,Encompass Health Corporation Common Stock,100,49.17,-0.727%,49.17,-0.727%,,,,,,,
EIX,Edison International Common Stock,36,56.74,-1.184%,56.74,-1.184%,,,,,,,
EL,Estee Lauder Companies Inc. (The) Common Stock,60,207.29,-3.694%,207.29,-3.694%,,,,,,,
ELAN,Elanco Animal Health Incorporated Common Stock,47,11.91,-2.934%,11.91,-2.934%,,,,,,,
ELF,e.l.f. Beauty Inc. Common Stock,60,40.17,-4.014%,40.17,-4.014%,,,,,,,
ELS,Equity Lifestyle Properties Inc. Common Stock,20,58.73,-5.305%,58.73,-5.305%,,,,,,,
ELV,Elevance Health Inc. Common Stock,4,487.81,1.995%,487.81,1.995%,,,,,,,
EME,EMCOR Group Inc. Common Stock,13,127.84,-0.109%,127.84,-0.109%,,,,,,,
EMN,Eastman Chemical Company Common Stock,26,73.14,-2.907%,73.14,-2.907%,,,,,,,
EMR,Emerson Electric Company Common Stock,72,81.2,-0.49%,81.2,-0.49%,,,,,,,
ENOV,Enovis Corporation Common Stock,41,46.45,-2.498%,46.45,-2.498%,,,,,,,
ENPH,Enphase Energy Inc. Common Stock,50,243.19,-3.273%,243.19,-3.273%,,,,,,,
ENS,EnerSys Common Stock,20,60.02,-2.47%,60.02,-2.47%,,,,,,,
ENSG,The Ensign Group Inc. Common Stock,3,84.7,-0.773%,84.7,-0.773%,,,,,,,
ENTG,Entegris Inc. Common Stock,16,76.5,-0.17%,76.5,-0.17%,,,,,,,
ENV,Envestnet Inc Common Stock,79,45.81,-1.016%,45.81,-1.016%,,,,,,,
ENVX,Enovix Corporation Common Stock,52,16.33,-3.771%,16.33,-3.771%,,,,,,,
EOG,EOG Resources Inc. Common Stock,85,130.07,4.904%,130.07,4.904%,,,,,,,
EPAM,EPAM Systems Inc. Common Stock,54,331.65,-2.447%,331.65,-2.447%,,,,,,,
EPD,Enterprise Products Partners L.P. Common Stock,33,25.21,-1.137%,25.21,-1.137%,,,,,,,
EPR,EPR Properties Common Stock,93,36.96,-2.839%,36.96,-2.839%,,,,,,,
EPRT,Essential Properties Realty Trust Inc. Common Stock,13,19.17,-2.393%,19.17,-2.393%,,,,,,,
EQC,Equity Commonwealth Common Shares of Beneficial Interest,28,24.98,0.362%,24.98,0.362%,,,,,,,
EQH,Equitable Holdings Inc. Common Stock,78,28.14,-2.224%,28.14,-2.224%,,,,,,,
EQIX,Equinix Inc. Common Stock REIT,83,525.52,-2.719%,525.52,-2.719%,,,,,,,
EQR,Equity Residential Common Shares of Beneficial Interest,43,63.63,-2.123%,63.63,-2.123%,,,,,,,
EQT,EQT Corporation Common Stock,59,42.21,0.957%,42.21,0.957%,,,,,,,
ERIE,Erie Indemnity Company Class A Common Stock,47,238.77,1.225%,238.77,1.225%,,,,,,,
ES,Eversource Energy (D/B/A) Common Stock,25,74.5,-1.793%,74.5,-1.793%,,,,,,,
ESE,ESCO Technologies Inc. Common Stock,65,78.02,-0.751%,78.02,-0.751%,,,,,,,
ESI,Element Solutions Inc. Common Stock,89,16.55,-2.475%,16.55,-2.475%,,,,,,,
ESS,Essex Property Trust Inc. Common Stock,87,227.12,-2.641%,227.12,-2.641%,,,,,,,
ESTC,Elastic N.V. Ordinary Shares,83,61.93,-3.955%,61.93,-3.955%,,,,,,,
ET,Energy Transfer LP Common Units ,39,11.88,0.763%,11.88,0.763%,,,,,,,
ETR,Entergy Corporation Common Stock,22,101.74,-1.643%,101.74,-1.643%,,,,,,,
ETSY,Etsy Inc. Common Stock,2,94.33,-6.121%,94.33,-6.121%,,,,,,,
EVA,Enviva Inc. Common Stock,71,53.52,-4.292%,53.52,-4.292%,,,,,,,
EVH,Evolent Health Inc Class A Common Stock,20,32.22,-1.588%,32.22,-1.588%,,,,,,,
EVR,Evercore Inc. Class A Common Stock,12,90.86,-1.464%,90.86,-1.464%,,,,,,,
EW,Edwards Lifesciences Corporation Common Stock,89,85.95,-0.359%,85.95,-0.359%,,,,,,,
EWBC,East West Bancorp Inc. Common Stock,26,70.99,-2.793%,70.99,-2.793%,,,,,,,
EXAS,Exact Sciences Corporation Common Stock,15,32.69,-7.368%,32.69,-7.368%,,,,,,,
EXC,Exelon Corporation Common Stock,53,36.85,-1.89%,36.85,-1.89%,,,,,,,
EXEL,Exelixis Inc. Common Stock,86,16.25,-1.694%,16.25,-1.694%,,,,,,,
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest,44,7.41,-1.724%,7.41,-1.724%,,,,,,,
EXLS,ExlService Holdings Inc. Common Stock,59,166.44,0.042%,166.44,0.042%,,,,,,,
EXP,Eagle Materials Inc Common Stock,55,113.24,-4.075%,113.24,-4.075%,,,,,,,
EXPD,Expeditors International of Washington Inc. Common Stock,56,91.01,-1.887%,91.01,-1.887%,,,,,,,
EXPE,Expedia Group Inc. Common Stock,64,96.12,-2.028%,96.12,-2.028%,,,,,,,
EXPO,Exponent Inc. Common Stock,11,89.89,-0.564%,89.89,-0.564%,,,,,,,
EXR,Extra Space Storage Inc Common Stock,96,165.92,-2.903%,165.92,-2.903%,,,,,,,
EYE,National Vision Holdings Inc. Common Stock,46,33.86,-2.336%,33.86,-2.336%,,,,,,,
F,Ford Motor Company Common Stock,50,12.13,0.831%,12.13,0.831%,,,,,,,
FA,First Advantage Corporation Common Stock,28,13.65,0.00%,13.65,0.00%,,,,,,,
FAF,First American Corporation (New) Common Stock,11,45.11,-3.384%,45.11,-3.384%,,,,,,,
FANG,Diamondback Energy Inc. Common Stock,27,146.03,2.947%,146.03,2.947%,,,,,,,
FAST,Fastenal Company Common Stock,7,46.08,-2.949%,46.08,-2.949%,,,,,,,
FBHS,Fortune Brands Home & Security Inc. Common Stock,5,55.01,-4.695%,55.01,-4.695%,,,,,,,
FCFS,FirstCash Holdings Inc. Common Stock,49,81.97,-0.967%,81.97,-0.967%,,,,,,,
FCN,FTI Consulting Inc. Common Stock,86,183.98,0.574%,183.98,0.574%,,,,,,,
FCNCA,First Citizens BancShares Inc. Class A Common Stock,53,867.09,-0.763%,867.09,-0.763%,,,,,,,
FCX,Freeport-McMoRan Inc. Common Stock,81,28.36,-0.456%,28.36,-0.456%,,,,,,,
FDS,FactSet Research Systems Inc. Common Stock,94,406.1,-0.779%,406.1,-0.779%,,,,,,,
FDX,FedEx Corporation Common Stock,69,152.96,-2.137%,152.96,-2.137%,,,,,,,
FE,FirstEnergy Corp. Common Stock,58,36.92,-1.045%,36.92,-1.045%,,,,,,,
FELE,Franklin Electric Co. Inc. Common Stock,49,87.5,-1.175%,87.5,-1.175%,,,,,,,
FFBC,First Financial Bancorp. Common Stock,99,23.9,0.378%,23.9,0.378%,,,,,,,
FFIN,First Financial Bankshares Inc. Common Stock,94,44.81,-0.929%,44.81,-0.929%,,,,,,,
FFIV,F5 Inc. Common Stock,51,142.4,-1.399%,142.4,-1.399%,,,,,,,
FHB,First Hawaiian Inc. Common Stock,41,26.27,-1.055%,26.27,-1.055%,,,,,,,
FHI,Federated Hermes Inc. Common Stock,66,31.68,-2.493%,31.68,-2.493%,,,,,,,
FHN,First Horizon Corporation Common Stock,62,24.07,0.292%,24.07,0.292%,,,,,,,
FIBK,First Interstate BancSystem Inc. Class A Common Stock,61,43.75,0.023%,43.75,0.023%,,,,,,,
FICO,Fair Isaac Corproation Common Stock,99,408.95,-2.633%,408.95,-2.633%,,,,,,,
FIS,Fidelity National Information Services Inc. Common Stock,59,76.73,-1.742%,76.73,-1.742%,,,,,,,
FISV,Fiserv Inc. Common Stock,98,96.23,-0.967%,96.23,-0.967%,,,,,,,
FITB,Fifth Third Bancorp Common Stock,24,33.26,-4.59%,33.26,-4.59%,,,,,,,
FIVE,Five Below Inc. Common Stock,32,135.27,-3.626%,135.27,-3.626%,,,,,,,
FIVN,Five9 Inc. Common Stock,29,55.59,-5.78%,55.59,-5.78%,,,,,,,
FIX,Comfort Systems USA Inc. Common Stock,70,106.75,-0.946%,106.75,-0.946%,,,,,,,
FIZZ,National Beverage Corp. Common Stock,8,42.37,-1.717%,42.37,-1.717%,,,,,,,
FL,Foot Locker Inc.,91,31.99,-0.405%,31.99,-0.405%,,,,,,,
FLNC,Fluence Energy Inc. Class A Common Stock,70,13.84,-1.565%,13.84,-1.565%,,,,,,,
FLO,Flowers Foods Inc. Common Stock,77,26.82,-0.814%,26.82,-0.814%,,,,,,,
FLR,Fluor Corporation Common Stock,93,28.26,1.145%,28.26,1.145%,,,,,,,
FLS,Flowserve Corporation Common Stock,78,25.64,-1.004%,25.64,-1.004%,,,,,,,
FLT,FleetCor Technologies Inc. Common Stock,22,167.48,-2.656%,167.48,-2.656%,,,,,,,
FLYW,Flywire Corporation Voting Common Stock,27,20.82,-2.07%,20.82,-2.07%,,,,,,,
FMC,FMC Corporation Common Stock,7,116.67,-0.867%,116.67,-0.867%,,,,,,,
FNB,F.N.B. Corporation Common Stock,32,13.67,3.875%,13.67,3.875%,,,,,,,
FNF,FNF Group of Fidelity National Financial Inc. Common Stock,25,36.9,-3.756%,36.9,-3.756%,,,,,,,
FOCS,Focus Financial Partners Inc. Class A Common Stock,3,31.5,-3.493%,31.5,-3.493%,,,,,,,
FOLD,Amicus Therapeutics Inc. Common Stock,85,10.73,-5.044%,10.73,-5.044%,,,,,,,
FOUR,Shift4 Payments Inc. Class A Common Stock,68,47.16,-1.504%,47.16,-1.504%,,,,,,,
FOX,Fox Corporation Class B Common Stock,57,27.66,0.29%,27.66,0.29%,,,,,,,
FOXA,Fox Corporation Class A Common Stock,58,29.32,0.411%,29.32,0.411%,,,,,,,
FOXF,Fox Factory Holding Corp. Common Stock,32,77.14,-6.971%,77.14,-6.971%,,,,,,,
FR,First Industrial Realty Trust Inc. Common Stock,93,44.1,-2.97%,44.1,-2.97%,,,,,,,
FRC,FIRST REPUBLIC BANK Common Stock,44,111.79,-4.624%,111.79,-4.624%,,,,,,,
FRME,First Merchants Corporation Common Stock,93,42.88,0.257%,42.88,0.257%,,,,,,,
FROG,JFrog Ltd. Ordinary Shares,43,22.62,-3.745%,22.62,-3.745%,,,,,,,
FRPT,Freshpet Inc. Common Stock,73,54.95,-4.568%,54.95,-4.568%,,,,,,,
FRSH,Freshworks Inc. Class A Common Stock,19,12.99,-5.113%,12.99,-5.113%,,,,,,,
FRT,Federal Realty Investment Trust Common Stock,26,91.23,-1.988%,91.23,-1.988%,,,,,,,
FSLR,First Solar Inc. Common Stock,13,120.21,-0.907%,120.21,-0.907%,,,,,,,
FSS,Federal Signal Corporation Common Stock,10,44.17,0.707%,44.17,0.707%,,,,,,,
FTNT,Fortinet Inc. Common Stock,43,51.79,0.446%,51.79,0.446%,,,,,,,
FUL,H. B. Fuller Company Common Stock,91,65.04,-3.544%,65.04,-3.544%,,,,,,,
FULT,Fulton Financial Corporation Common Stock,72,17.35,-1.588%,17.35,-1.588%,,,,,,,
FUN,Cedar Fair L.P. Common Stock,81,38.63,-4.144%,38.63,-4.144%,,,,,,,
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,42,53.65,-1.142%,53.65,-1.142%,,,,,,,
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,76,59.5,-0.998%,59.5,-0.998%,,,,,,,
FWRD,Forward Air Corporation Common Stock,62,98.03,-3.065%,98.03,-3.065%,,,,,,,
FYBR,Frontier Communications Parent Inc. Common Stock,99,23,-1.961%,23,-1.961%,,,,,,,
GATX,GATX Corporation Common Stock,96,94.97,-1.289%,94.97,-1.289%,,,,,,,
GBCI,Glacier Bancorp Inc. Common Stock,64,52.71,-1.697%,52.71,-1.697%,,,,,,,
GBDC,Golub Capital BDC Inc. Common Stock,52,12.96,-0.766%,12.96,-0.766%,,,,,,,
GD,General Dynamics Corporation Common Stock,18,239.37,0.796%,239.37,0.796%,,,,,,,
GDDY,GoDaddy Inc. Class A Common Stock,82,75.18,-1.066%,75.18,-1.066%,,,,,,,
GE,General Electric Company Common Stock,38,70.53,-0.24%,70.53,-0.24%,,,,,,,
GEF,Greif Inc. Class A Common Stock,67,63.69,-1.47%,63.69,-1.47%,,,,,,,
GFS,GlobalFoundries Inc. Ordinary Shares,55,52.64,0.496%,52.64,0.496%,,,,,,,
GGG,Graco Inc. Common Stock,23,62.57,-1.48%,62.57,-1.48%,,,,,,,
GH,Guardant Health Inc. Common Stock,71,43.8,-7.341%,43.8,-7.341%,,,,,,,
GHC,Graham Holdings Company Common Stock,91,588.82,-1.476%,588.82,-1.476%,,,,,,,
GILD,Gilead Sciences Inc. Common Stock,96,66.19,-1.017%,66.19,-1.017%,,,,,,,
GIS,General Mills Inc. Common Stock,43,78.13,-0.179%,78.13,-0.179%,,,,,,,
GKOS,Glaukos Corporation Common Stock,65,53.35,-2.717%,53.35,-2.717%,,,,,,,
GL,Globe Life Inc. Common Stock,39,112.56,-0.697%,112.56,-0.697%,,,,,,,
GLPI,Gaming and Leisure Properties Inc. Common Stock,68,45.54,-3.823%,45.54,-3.823%,,,,,,,
GLW,Corning Incorporated Common Stock,59,31.42,-0.254%,31.42,-0.254%,,,,,,,
GM,General Motors Company Common Stock,43,33.63,-1.81%,33.63,-1.81%,,,,,,,
GME,GameStop Corporation Common Stock,86,24.54,-7.987%,24.54,-7.987%,,,,,,,
GMED,Globus Medical Inc. Class A Common Stock,98,63.34,-1.324%,63.34,-1.324%,,,,,,,
GNRC,Generac Holdlings Inc. Common Stock,26,110.3,-25.342%,110.3,-25.342%,,,,,,,
GNTX,Gentex Corporation Common Stock,50,24.27,-1.979%,24.27,-1.979%,,,,,,,
GNW,Genworth Financial Inc Common Stock,74,4.42,0.913%,4.42,0.913%,,,,,,,
GO,Grocery Outlet Holding Corp. Common Stock,42,32.47,-2.287%,32.47,-2.287%,,,,,,,
GOLF,Acushnet Holdings Corp. Common Stock,56,43.48,-1.092%,43.48,-1.092%,,,,,,,
GOOG,Alphabet Inc. Class C Capital Stock,7,100.29,-1.085%,100.29,-1.085%,,,,,,,
GOOGL,Alphabet Inc. Class A Common Stock,59,99.63,-1.131%,99.63,-1.131%,,,,,,,
GPC,Genuine Parts Company Common Stock,63,158.97,-1.033%,158.97,-1.033%,,,,,,,
GPI,Group 1 Automotive Inc. Common Stock,17,160.47,-3.985%,160.47,-3.985%,,,,,,,
GPK,Graphic Packaging Holding Company,18,21.16,-1.26%,21.16,-1.26%,,,,,,,
GPN,Global Payments Inc. Common Stock,14,112.67,-0.88%,112.67,-0.88%,,,,,,,
GPS,Gap Inc. (The) Common Stock,5,9.92,-2.458%,9.92,-2.458%,,,,,,,
GS,Goldman Sachs Group Inc. (The) Common Stock,66,311.76,-0.666%,311.76,-0.666%,,,,,,,
GSAT,Globalstar Inc. Common Stock,53,1.78,-2.198%,1.78,-2.198%,,,,,,,
GT,The Goodyear Tire & Rubber Company Common Stock,96,11.31,-1.738%,11.31,-1.738%,,,,,,,
GTLB,GitLab Inc. Class A Common Stock,70,45.48,-5.76%,45.48,-5.76%,,,,,,,
GTLS,Chart Industries Inc. Common Stock,19,195.04,0.578%,195.04,0.578%,,,,,,,
GWRE,Guidewire Software Inc. Common Stock,76,55.77,-2.823%,55.77,-2.823%,,,,,,,
GWW,W.W. Grainger Inc. Common Stock,47,521.13,-1.973%,521.13,-1.973%,,,,,,,
H,Hyatt Hotels Corporation Class A Common Stock,24,86.6,-0.368%,86.6,-0.368%,,,,,,,
HAE,Haemonetics Corporation Common Stock,31,78.58,-1.319%,78.58,-1.319%,,,,,,,
HAL,Halliburton Company Common Stock,9,31.96,4.924%,31.96,4.924%,,,,,,,
HALO,Halozyme Therapeutics Inc. Common Stock,58,43.95,-4.477%,43.95,-4.477%,,,,,,,
HAS,Hasbro Inc. Common Stock,74,64.84,-1.399%,64.84,-1.399%,,,,,,,
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc. Common Stock,78,23.13,-2.033%,23.13,-2.033%,,,,,,,
HBAN,Huntington Bancshares Incorporated Common Stock,64,13.62,-3.473%,13.62,-3.473%,,,,,,,
HBI,Hanesbrands Inc. Common Stock,53,7.47,-5.203%,7.47,-5.203%,,,,,,,
HCA,HCA Healthcare Inc. Common Stock,9,209.19,-0.395%,209.19,-0.395%,,,,,,,
HCP,HashiCorp Inc. Class A Common Stock,23,29.69,-3.635%,29.69,-3.635%,,,,,,,
HD,Home Depot Inc. (The) Common Stock,9,275.49,-3.357%,275.49,-3.357%,,,,,,,
HE,Hawaiian Electric Industries Inc. Common Stock,43,35.72,-1.408%,35.72,-1.408%,,,,,,,
HEI,Heico Corporation Common Stock,67,148.96,0.175%,148.96,0.175%,,,,,,,
HEP,Holly Energy Partners L.P. Common Stock,61,18.33,-1.399%,18.33,-1.399%,,,,,,,
HES,Hess Corporation Common Stock,75,129,2.495%,129,2.495%,,,,,,,
HHC,Howard Hughes Corporation (The) Common Stock,87,57.41,-2.148%,57.41,-2.148%,,,,,,,
